,n_A,n_B,noise_level,iteration,method,bench_test,cluster_test
191,500,500,0.1,63,ridge,0.0381822619784701,0.01663803928809995
192,500,500,0.1,64,lasso,0.012447830193391199,0.01158156243417325
193,500,500,0.1,64,ols,0.026173028269401398,0.01266505164608615
194,500,500,0.1,64,ridge,0.0256361492174288,0.01095527909963535
195,500,500,0.1,65,lasso,0.01422225108304505,0.01579919804519115
196,500,500,0.1,65,ols,0.02532467174959075,0.01628577910912305
197,500,500,0.1,65,ridge,0.02791776029463695,0.01556867384135085
198,500,500,0.1,66,lasso,0.01093397640361315,0.0109231581301386
199,500,500,0.1,66,ols,0.048888934833461045,0.0125844911542136
200,500,500,0.1,66,ridge,0.0430829901696941,0.01149293238754985
201,500,500,0.1,67,lasso,0.04971177801788865,0.2156666056903788
202,500,500,0.1,67,ols,0.7793600839888595,0.07865066195645301
203,500,500,0.1,67,ridge,0.5750184243405572,0.08082195322206935
204,500,500,0.1,68,lasso,0.01662874046363975,0.01350237492038395
205,500,500,0.1,68,ols,0.0296687263071276,0.03435792752736755
206,500,500,0.1,68,ridge,0.0297609589811309,0.024152387393693048
207,500,500,0.1,69,lasso,0.0149325430023677,0.014890353082156
208,500,500,0.1,69,ols,0.03954391824886435,0.020052993252394298
209,500,500,0.1,69,ridge,0.036676182347420844,0.0164177423627397
210,500,500,0.1,70,lasso,0.0144725704631654,0.013096589623514149
211,500,500,0.1,70,ols,0.02597485330853025,0.01502772081448795
212,500,500,0.1,70,ridge,0.02406335897894645,0.0151731858772024
213,500,500,0.1,71,lasso,0.0134634711171818,0.0127132717493855
214,500,500,0.1,71,ols,0.0278498241145561,0.0155929539731649
215,500,500,0.1,71,ridge,0.026756220687875497,0.0126322185662024
216,500,500,0.1,72,lasso,0.0152884241105824,0.01472621180292355
217,500,500,0.1,72,ols,0.09682457486562085,0.01623017881951025
218,500,500,0.1,72,ridge,0.0909361885412786,0.0165311381354738
219,500,500,0.1,73,lasso,0.01686883061855585,0.016314953810812452
220,500,500,0.1,73,ols,0.027597777590805297,0.0200182322042994
221,500,500,0.1,73,ridge,0.0227189169330156,0.0198051307723437
222,500,500,0.1,74,lasso,0.02163342878869635,0.01849778431030515
223,500,500,0.1,74,ols,0.05435506690339045,0.03217447838318025
224,500,500,0.1,74,ridge,0.05667493137064515,0.0281408862362547
225,500,500,0.1,75,lasso,0.01835213857211775,0.01455363705649505
226,500,500,0.1,75,ols,0.04330093586776425,0.01693904651667965
227,500,500,0.1,75,ridge,0.0377595385412517,0.01497370970565365
228,500,500,0.1,76,lasso,0.017251139854844902,0.013702480153895101
229,500,500,0.1,76,ols,0.02398751877595505,0.020537577570297498
230,500,500,0.1,76,ridge,0.02306377862481775,0.013493087970638449
231,500,500,0.1,77,lasso,0.01370261802889345,0.01082495289019
232,500,500,0.1,77,ols,0.031659996502754154,0.01131308021672655
233,500,500,0.1,77,ridge,0.0289510229913979,0.01028551648994125
234,500,500,0.1,78,lasso,0.01487561129183125,0.011465351689943549
235,500,500,0.1,78,ols,0.04731796165351175,0.013247971733524249
236,500,500,0.1,78,ridge,0.052781900661028905,0.01160084331679905
237,500,500,0.1,79,lasso,0.015288968682237749,0.0164540445860478
238,500,500,0.1,79,ols,0.049255948665451604,0.0214723158989165
239,500,500,0.1,79,ridge,0.04263458375163165,0.02069789714301495
240,500,500,0.1,80,lasso,0.0097369244972816,0.008780309906820851
241,500,500,0.1,80,ols,0.03536335872378685,0.01109572149871195
242,500,500,0.1,80,ridge,0.0312615454370133,0.008409033140383049
243,500,500,0.1,81,lasso,0.0125857357091631,0.012311023589526151
244,500,500,0.1,81,ols,0.0318547797374769,0.0132095252390914
245,500,500,0.1,81,ridge,0.03150472886583515,0.0120269401219401
246,500,500,0.1,82,lasso,0.0123125200628938,0.019315571163290052
247,500,500,0.1,82,ols,0.03361500506518765,0.0230381697078435
248,500,500,0.1,82,ridge,0.028765591388049648,0.02172472043197715
249,500,500,0.1,83,lasso,0.017926080241335553,0.0163204048824125
250,500,500,0.1,83,ols,0.10343541688024721,0.02765950238568755
251,500,500,0.1,83,ridge,0.10187108356652286,0.0200641464965991
252,500,500,0.1,84,lasso,0.01821660710948295,0.016053900766195
253,500,500,0.1,84,ols,0.07649586159737345,0.017564207928897402
254,500,500,0.1,84,ridge,0.0824762148494982,0.01594578286273645
255,500,500,0.1,85,lasso,0.01307497496054685,0.01327797373390785
256,500,500,0.1,85,ols,0.0476824718912538,0.0222843170609084
257,500,500,0.1,85,ridge,0.042225054459911995,0.0200052381699008
258,500,500,0.1,86,lasso,0.01159961605590845,0.01182047405198505
259,500,500,0.1,86,ols,0.02092683397444475,0.0123065304919503
260,500,500,0.1,86,ridge,0.02118916104730165,0.01234119742843505
261,500,500,0.1,87,lasso,0.0118318483178865,0.01038698430100125
262,500,500,0.1,87,ols,0.0153736300617301,0.01189214251651565
263,500,500,0.1,87,ridge,0.0152683103804301,0.011559353444659849
264,500,500,0.1,88,lasso,0.0208266196119444,0.0189421149991701
265,500,500,0.1,88,ols,0.04249432357537475,0.0303083823898236
266,500,500,0.1,88,ridge,0.03761864346603665,0.0254800911463927
267,500,500,0.1,89,lasso,0.0155683116660543,0.01417746332031155
268,500,500,0.1,89,ols,0.13659687908764745,0.01723713178027815
269,500,500,0.1,89,ridge,0.103574698810045,0.01361327886867625
270,500,500,0.1,90,lasso,0.013300129755607449,0.0146392903839792
271,500,500,0.1,90,ols,0.01770305514357605,0.015600039494499101
272,500,500,0.1,90,ridge,0.0173050071292338,0.0137107261888472
273,500,500,0.1,91,lasso,0.011611879556566,0.01084167029405185
274,500,500,0.1,91,ols,0.02223191392879265,0.01717782775039335
275,500,500,0.1,91,ridge,0.0193764461945306,0.01439759533113495
276,500,500,0.1,92,lasso,0.0205204983156487,0.0189695810161048
277,500,500,0.1,92,ols,0.0327635221023442,0.0215880579359294
278,500,500,0.1,92,ridge,0.03311561062184715,0.0165778646560756
279,500,500,0.1,93,lasso,0.0243684525475263,0.03618449304417705
280,500,500,0.1,93,ols,0.04679439142113585,0.0889115997326892
281,500,500,0.1,93,ridge,0.0407194052106319,0.040750529360625454
282,500,500,0.1,94,lasso,0.0123706568499376,0.009775758478305401
283,500,500,0.1,94,ols,0.02055699602646445,0.01198880687904025
284,500,500,0.1,94,ridge,0.020033245056860452,0.010872701980499201
285,500,500,0.1,95,lasso,0.0112325312663791,0.01203881546347365
286,500,500,0.1,95,ols,0.07260314250707195,0.01204095043286725
287,500,500,0.1,95,ridge,0.05773192048358925,0.01138174252671755
288,500,500,0.1,96,lasso,0.0147181495950122,0.01423022255353595
289,500,500,0.1,96,ols,0.02702492170974915,0.013770963141243299
290,500,500,0.1,96,ridge,0.0270758478130372,0.0151573226790247
291,500,500,0.1,97,lasso,0.012785430752869,0.0117374699624328
292,500,500,0.1,97,ols,0.029440170959682002,0.021239281836566398
293,500,500,0.1,97,ridge,0.02563520641051325,0.0138442029429491
294,500,500,0.1,98,lasso,0.01397330989041215,0.011559012840009299
295,500,500,0.1,98,ols,0.0236615134368961,0.020664148609489452
296,500,500,0.1,98,ridge,0.02218063426236495,0.015153680748089201
297,500,500,0.1,99,lasso,0.0129205276414279,0.01197330847636025
298,500,500,0.1,99,ols,0.01665848305761345,0.0126328851628056
299,500,500,0.1,99,ridge,0.014981493413711449,0.0112381616455603
300,500,500,0.1,100,lasso,0.01124356527975395,0.0098333389333916
301,500,500,0.1,100,ols,0.016744994820401947,0.01798936044789955
302,500,500,0.1,100,ridge,0.01573478830958865,0.01391388713457215
303,500,500,0.1,101,lasso,0.033737358441483845,0.037193558361938356
304,500,500,0.1,101,ols,0.06911821458677439,0.05580893126017495
305,500,500,0.1,101,ridge,0.06768738728563445,0.0449794659776214
306,500,500,0.1,102,lasso,0.0135167693297223,0.01352103129683725
307,500,500,0.1,102,ols,0.031099546457733752,0.0161445822146908
308,500,500,0.1,102,ridge,0.029023695425227453,0.01307521607309505
309,500,500,0.1,103,lasso,0.017228306945651847,0.018132673749021798
310,500,500,0.1,103,ols,0.0834834519751067,0.0533120741223431
311,500,500,0.1,103,ridge,0.08026951743768834,0.03591930507759085
312,500,500,0.1,104,lasso,0.01681843047350685,0.018026955639943103
313,500,500,0.1,104,ols,0.02739578254812365,0.017511335511714
314,500,500,0.1,104,ridge,0.023961765096393202,0.015891629985648352
315,500,500,0.1,105,lasso,0.0162726991742055,0.01216824841886375
316,500,500,0.1,105,ols,0.0385065540947354,0.024013339784940052
317,500,500,0.1,105,ridge,0.035914453352978645,0.01150107915794245
318,500,500,0.1,106,lasso,0.0122165620139468,0.0114881379088252
319,500,500,0.1,106,ols,0.0379431875006412,0.0128899894434811
320,500,500,0.1,106,ridge,0.03009319684687965,0.011989790369329349
321,500,500,0.1,107,lasso,0.01604854353487105,0.012631028545768249
322,500,500,0.1,107,ols,0.046253168108621,0.0191935281185097
323,500,500,0.1,107,ridge,0.03896963297894035,0.014476468957450101
324,500,500,0.1,108,lasso,0.01274986983554105,0.0123097072961065
325,500,500,0.1,108,ols,0.0445825412302262,0.01594131981631535
326,500,500,0.1,108,ridge,0.03832009300902945,0.013085227694505201
327,500,500,0.1,109,lasso,0.014066343046422451,0.009187963650359201
328,500,500,0.1,109,ols,0.03242241325895335,0.012567135708878751
329,500,500,0.1,109,ridge,0.02938176698899645,0.01192745000425775
330,500,500,0.1,110,lasso,0.01286186857409455,0.0155126834822899
331,500,500,0.1,110,ols,0.04318542864953305,0.017868371249204852
332,500,500,0.1,110,ridge,0.043495492541957254,0.01614352350412085
333,500,500,0.1,111,lasso,0.0128098415177263,0.01339958407814485
334,500,500,0.1,111,ols,0.06125546647072845,0.01641514395686255
335,500,500,0.1,111,ridge,0.05981009318693005,0.01419650790320505
336,500,500,0.1,112,lasso,0.01108286113727375,0.00903369099189805
337,500,500,0.1,112,ols,0.0232998778979716,0.01113463787298145
338,500,500,0.1,112,ridge,0.02214483022546945,0.01031584336617565
339,500,500,0.1,113,lasso,0.0119738761022125,0.01310021649252685
340,500,500,0.1,113,ols,0.0275176480352154,0.01557795269312165
341,500,500,0.1,113,ridge,0.0277393019577305,0.0150239126784276
342,500,500,0.1,114,lasso,0.01915275688325105,0.021412961202539202
343,500,500,0.1,114,ols,0.057979762730606996,0.02362513401772315
344,500,500,0.1,114,ridge,0.04805035209831965,0.0226959295382031
345,500,500,0.1,115,lasso,0.0106354412145246,0.010647681198764799
346,500,500,0.1,115,ols,0.12894894787844005,0.01125641704034205
347,500,500,0.1,115,ridge,0.12295927241540561,0.0105778028917264
348,500,500,0.1,116,lasso,0.0133544030653428,0.0095621704359854
349,500,500,0.1,116,ols,0.04570791623068595,0.01067559151996035
350,500,500,0.1,116,ridge,0.04328904020609625,0.01078192520214415
351,500,500,0.1,117,lasso,0.0099468664086103,0.009527969267052
352,500,500,0.1,117,ols,0.014364749534245,0.01087936812649835
353,500,500,0.1,117,ridge,0.013336112367246251,0.00974899051956615
354,500,500,0.1,118,lasso,0.013104786856455199,0.0109389388220382
355,500,500,0.1,118,ols,0.18110160814617332,0.01343224197352905
356,500,500,0.1,118,ridge,0.13421012403396176,0.01241251921933055
357,500,500,0.1,119,lasso,0.0109485000738045,0.0103478514455823
358,500,500,0.1,119,ols,0.0283892715665736,0.01609640928011745
359,500,500,0.1,119,ridge,0.02220278796337125,0.01480202356153065
360,500,500,0.1,120,lasso,0.012444495508048,0.011351285240849999
361,500,500,0.1,120,ols,0.06484848275674035,0.0134568675992368
362,500,500,0.1,120,ridge,0.05702279452315645,0.014339403605348501
363,500,500,0.1,121,lasso,0.01119290432509935,0.01203110576248635
364,500,500,0.1,121,ols,0.02567750748921105,0.012744500985270999
365,500,500,0.1,121,ridge,0.025025984282851597,0.01241922830810455
366,500,500,0.1,122,lasso,0.01669071904336035,0.02037000431270935
367,500,500,0.1,122,ols,0.031069614170975347,0.028508859888169848
368,500,500,0.1,122,ridge,0.02920851831117215,0.02538014343917685
369,500,500,0.1,123,lasso,0.0173702533578785,0.020490928856205348
370,500,500,0.1,123,ols,0.12355334800401852,0.01561022035102645
371,500,500,0.1,123,ridge,0.09995100954772834,0.0169185465570891
372,500,500,0.1,124,lasso,0.0132985434013825,0.0120434310212015
373,500,500,0.1,124,ols,0.0258256643468524,0.0205125453650743
374,500,500,0.1,124,ridge,0.02457856028849455,0.0147330015478671
375,500,500,0.1,125,lasso,0.0117838279320533,0.01179966483418645
376,500,500,0.1,125,ols,0.0233815685111796,0.0177664792962451
377,500,500,0.1,125,ridge,0.02185871666824835,0.0145855718823016
378,500,500,0.1,126,lasso,0.009376085692230751,0.00925919556571495
379,500,500,0.1,126,ols,0.0153975705934686,0.011476036530205999
380,500,500,0.1,126,ridge,0.01446704759328295,0.010828488562457848
381,500,500,0.1,127,lasso,0.01318279691361235,0.0102946427381694
382,500,500,0.1,127,ols,0.047878056558026405,0.01365349797688215
383,500,500,0.1,127,ridge,0.04157959376203995,0.0127129474438312
384,500,500,0.1,128,lasso,0.008511989603070699,0.007862772655374849
385,500,500,0.1,128,ols,0.01220412352573745,0.0107901083351835
386,500,500,0.1,128,ridge,0.01070865963956535,0.0073711078924022
387,500,500,0.1,129,lasso,0.01084336501678285,0.00900222512060615
388,500,500,0.1,129,ols,0.03141775076182675,0.0097232235461299
389,500,500,0.1,129,ridge,0.0303597782856342,0.009718746950837
390,500,500,0.1,130,lasso,0.01513542509752875,0.01352662210588975
391,500,500,0.1,130,ols,0.05620802349866725,0.0173441161728154
392,500,500,0.1,130,ridge,0.048756520602819,0.0158944768812063
393,500,500,0.1,131,lasso,0.01412030980919685,0.01799621459945735
394,500,500,0.1,131,ols,0.03594469413760665,0.0470599320475698
395,500,500,0.1,131,ridge,0.0385838751113207,0.04986522515275105
396,500,500,0.1,132,lasso,0.0148459620029639,0.01040207622919985
397,500,500,0.1,132,ols,0.0564322659960743,0.01389781934626355
398,500,500,0.1,132,ridge,0.03973340678675935,0.0111845427662796
399,500,500,0.1,133,lasso,0.01951815407075825,0.02082931784521435
400,500,500,0.1,133,ols,0.0264820606945975,0.019810147742229903
401,500,500,0.1,133,ridge,0.022731196615435552,0.01807562260949035
402,500,500,0.1,134,lasso,0.020888447999418802,0.0314763988498236
403,500,500,0.1,134,ols,0.1455328120607674,0.050522831867203646
404,500,500,0.1,134,ridge,0.1337808844762789,0.045789879525668195
405,500,500,0.1,135,lasso,0.012918687600595249,0.01033843499194045
406,500,500,0.1,135,ols,0.0228366232560136,0.0144375653066966
407,500,500,0.1,135,ridge,0.0229500891842932,0.0139260808292196
408,500,500,0.1,136,lasso,0.015821244664667798,0.0179598981226791
409,500,500,0.1,136,ols,0.01797044346403275,0.020110707044753
410,500,500,0.1,136,ridge,0.01733733030354575,0.0181778125081532
411,500,500,0.1,137,lasso,0.01264005983119925,0.01212732283619775
412,500,500,0.1,137,ols,0.0626423316654985,0.01982172829878115
413,500,500,0.1,137,ridge,0.05678560730997475,0.015725333047899852
